Name,NRIC,Age,Marital Status,Password
John Williams,S1234567A,35,Single,password
Sarah May,T7654321B,40,Married,password
Grace Poole,S9876543C,37,Married,password
James Bond,T2345678D,30,Married,password
Rachel Ashley,S3456789E,25,Single,password
Daniel Craig,S1122334F,45,Married,password
Emily Stone,T5566778G,29,Single,password
Michael Tan,S9988776H,38,Married,password
Olivia Hart,T3344556I,32,Single,password
Benjamin Lee,S6677889J,41,Married,password
Natalie Chong,T7788990K,27,Single,password
William Koh,S2233445L,36,Married,password
Chloe Lim,T8899001M,24,Single,password
Lucas Ong,S3344556N,39,Married,password
Isabelle Tay,T9900112O,31,Single,password
Ethan Goh,S4455667P,43,Married,password
Samantha Yeo,T0011223Q,26,Single,password
Noah Tan,S5566778R,34,Married,password
Ava Chua,T1122334S,28,Single,password
Julian Sim,S6677889T,40,Married,password
Megan Fong,T1233445U,30,Single,password
Ryan Teo,S7788990V,35,Married,password
Hannah Liew,T2344556W,33,Single,password
Adrian Pang,S8899001X,42,Married,password
Zoe Wong,T4455667Y,22,Single,password
