Name,NRIC,Age,Marital Status,Password
Liam Yeo,S1239874Z,36,Married,password
Sophia Goh,T3214567A,27,Single,password
Aaron Lim,S2345612B,44,Married,password
Jasmine Tay,T6547891C,31,Single,password
Marcus Chua,S7891234D,39,Married,password
Fiona Toh,T7896543E,25,Single,password
Darren Leong,S4561239F,37,Married,password
Alyssa Tan,T3456781G,29,Single,password
Joel Ang,S5678943H,41,Married,password
Clara Ng,T2345673I,26,Single,password
Raymond Low,S6789012J,33,Married,password
Vanessa Teo,T8765432K,28,Single,password
Sean Pang,S3456123L,35,Married,password
Nicole Yuen,T9988771M,24,Single,password
Kenneth Fong,S7896543N,40,Married,password
Tracy Lim,T1122334O,30,Single,password
Brandon Toh,S6543218P,43,Married,password
Denise Ong,T5566777Q,27,Single,password
Keith Liew,S3214567R,38,Married,password
Gwen Sim,T4455666S,29,Single,password
Trevor Ng,S9871234T,34,Married,password
