Name,NRIC,Age,Marital Status,Password
Belinda Ho,T6677889Y,30,Single,password
Caleb Heng,S5566778F,40,Married,password
Charlene Yap,T7788990A,25,Single,password
Desmond Kwan,S3344556B,44,Married,password
Elaine Koh,T2233445K,30,Single,password
Gavin Seow,S1122334Z,39,Married,password
Howard Chong,S9988776X,37,Married,password
Irene Gwee,T9900112E,27,Single,password
Jeremy Tan,S6677889H,35,Married,password
Justin Sim,S8899001L,38,Married,password
Melissa Choo,T2233445U,31,Single,password
Michelle Toh,T3344556M,26,Single,password
Nigel Wong,S4455667D,36,Married,password
Rachel Lim,T1122334I,24,Single,password
Sabrina Loh,T0011223G,29,Single,password
Tiffany Lee,T3344556W,26,Single,password
Victor Tan,S4567891V,42,Married,password
Wesley Foo,S7788990J,43,Married,password
Yvonne Chew,T8899001C,28,Single,password
